"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DDX27",0.000137137735557861,0.461277842020557,0.52,0.437,1
"ARPP19",0.000140119216890447,0.38793626220723,0.52,0.412,1
"SEMA3C",0.000144237628915042,0.535951646504203,0.414,0.319,1
"HMGN2",0.000146382979577976,0.31276589704634,0.698,0.608,1
"DPM3",0.000151185103131276,-0.389233614613852,0.435,0.509,1
"MT-ND6",0.000156071886473109,-0.422053213265974,0.334,0.433,1
"GPX4",0.000167183341833422,-0.33964909184957,0.689,0.743,1
"PSMD7",0.000168776725912195,0.350886377611023,0.565,0.455,1
"TSR1",0.000181692903346081,0.632572136464921,0.265,0.178,1
"VCL",0.000185612616756292,0.391313264406196,0.461,0.37,1
"TCEAL9",0.000188013760980009,-0.378406185959536,0.413,0.498,1
"QKI",0.000190002013713964,0.519322641829244,0.344,0.24,1
"DDX5",0.000191602697255625,0.267834547093901,0.676,0.58,1
"SERPINE1",0.000196335642136623,0.652772988349019,0.276,0.193,1
"EIF3J",0.000200717081098263,0.27500951468001,0.734,0.658,1
"MORC4",0.000208492332201254,0.702522285864555,0.262,0.178,1
"ITGB5",0.000215266996556276,-0.465616001152382,0.318,0.404,1
"GALNT13",0.000219518753788274,-0.516679340134698,0.202,0.288,1
"ATAD2",0.000227021339082379,-0.529612372319714,0.36,0.432,1
"ENAH",0.000237393652789447,0.466452637649293,0.485,0.393,1
"SPATS2L",0.000240919490535623,-0.362221614393825,0.56,0.607,1
"SBF2",0.000241147597359796,-0.603905381894324,0.278,0.35,1
"NT5C2",0.000245861773514519,-0.499993358039036,0.279,0.368,1
"FNDC3B",0.000246180598999264,-0.331053647309627,0.483,0.577,1
"PACS1",0.000251179867518834,0.362563727961548,0.539,0.447,1
"UBR5",0.000253792237488572,0.46230339289388,0.308,0.214,1
"GRAMD1B",0.000274274620932893,0.429607299180762,0.5,0.409,1
"KLF6",0.000282234107232171,-0.579025596580675,0.215,0.296,1
"NARS",0.00028367243122664,0.316512419921478,0.679,0.582,1
"FBXO11",0.000292567449425742,0.398284377100935,0.39,0.288,1
"SPP1",0.000298552117662072,-0.673129651597188,0.182,0.26,1
"SBNO1",0.000299324479967383,0.531008842234027,0.33,0.241,1
"FBXL20",0.000337822109156702,-0.66403961182031,0.188,0.266,1
"LARP7",0.000339744370964832,0.351355640148694,0.352,0.251,1
"SYF2",0.000343649080092381,0.503385681609351,0.413,0.313,1
"DNAJA2",0.000345911678955417,0.428035402320723,0.408,0.314,1
"FLNA",0.000352958066114329,0.412973370187668,0.606,0.543,1
"TDG",0.000356873635887451,0.374994542390559,0.49,0.399,1
"EIF4G3",0.000362726331758302,-0.455349378076691,0.333,0.42,1
"PALLD",0.000367272948737578,0.288931008764614,0.562,0.464,1
"BRCA1",0.000373523773109983,-0.618273718448205,0.25,0.328,1
"ARID4B",0.000381548375926047,0.463285605587612,0.42,0.331,1
"ILF3",0.000382248521183257,0.441358441086325,0.432,0.345,1
"DNAJC2",0.000429376343666675,0.47310062355449,0.304,0.215,1
"SLC7A11",0.000430031601442491,0.413935836998247,0.472,0.381,1
"CIAO2A",0.000430122577391791,0.453540570880784,0.304,0.215,1
"MTHFD2",0.000452673945732239,0.444876736185665,0.429,0.353,1
"MAP4K4",0.000452859838184348,0.475156001565473,0.41,0.331,1
"RBM17",0.000477265685574342,0.339540174748695,0.509,0.432,1
"CHMP2A",0.000512890641591487,-0.407563261139786,0.422,0.5,1
"DKC1",0.000524221140565379,0.380641718421239,0.517,0.421,1
"KIF13A",0.000524877823507557,-0.652199448393332,0.193,0.265,1
"UBXN2A",0.000531654669804832,0.547915863345862,0.359,0.279,1
"CNIH4",0.000574607813116413,0.339041416189793,0.506,0.41,1
"CHD4",0.000598025199038915,0.406996876282726,0.487,0.407,1
"CDC25B",0.00061175598802583,0.50933305037521,0.301,0.223,1
"PMM2",0.000624619691713989,0.431087216676501,0.413,0.328,1
"MT1X",0.000689298003441351,0.423355612132371,0.426,0.342,1
"IER3",0.00075420501169289,-0.380327291081638,0.4,0.486,1
"PPP2R3C",0.000758150467353635,0.528582522540605,0.262,0.181,1
"CDK2AP1",0.000800614433055777,0.333810231747932,0.458,0.361,1
"MET",0.000803809166441861,0.489932521988678,0.39,0.313,1
"SAFB",0.000853346155021353,0.448086673187635,0.259,0.176,1
"SNHG16",0.000877603042796486,0.376845637027994,0.494,0.404,1
"UACA",0.000879145428230718,0.396202261961453,0.339,0.252,1
"STAT3",0.000883894228277283,0.401160405202281,0.307,0.224,1
"BHLHE40",0.000910819873475366,-0.454426169024768,0.285,0.364,1
"HDGF",0.000918041526492931,0.27935511830926,0.642,0.54,1
"U2SURP",0.000936373165035682,0.319968924324909,0.599,0.5,1
"ZFP91",0.00094762560136731,0.399578408437728,0.39,0.302,1
"HELLS",0.000972059140087282,-0.355871937976092,0.422,0.494,1
"CDK5RAP2",0.000980646252325791,0.526987957667516,0.265,0.189,1
"NR3C1",0.000990739218820001,0.298529015117907,0.701,0.632,1
"MLLT3",0.00100923110550718,-0.571604414211492,0.218,0.289,1
"KDM1A",0.00101604165940903,0.592425918981233,0.275,0.198,1
"SMARCA1",0.00103307411520729,0.337078382532586,0.459,0.364,1
"TOB1",0.00103924936373577,0.466440129879705,0.324,0.24,1
